11.01.06.2022,Baru,4,11.01.06
11.01.06.2023,Ladang Kasik Putih,4,11.01.06
11.01.06.2024,Air Sialang Hilir,4,11.01.06
11.01.06.2025,Air Sialang Hulu,4,11.01.06
11.01.06.2026,Air Sialang Tengah,4,11.01.06
11.01.06.2027,Balai,4,11.01.06
11.01.06.2028,Arafah,4,11.01.06
11.01.07,Sawang,3,11.01
11.01.07.2001,Sikulat,4,11.01.07
11.01.07.2002,Sawang I,4,11.01.07
11.01.07.2003,Meuligo,4,11.01.07
11.01.07.2004,Lhok Pawoh,4,11.01.07
11.01.07.2005,Sawang II,4,11.01.07
11.01.07.2006,Ujung Karang,4,11.01.07
11.01.07.2007,Trieng Meuduro Baroh,4,11.01.07
11.01.07.2008,Trieng Meuduro Tunong,4,11.01.07
11.01.07.2009,Panton Luas,4,11.01.07
11.01.07.2010,Simpang Tiga,4,11.01.07
11.01.07.2011,Kuta Baro,4,11.01.07
11.01.07.2012,Blang Geulinggang,4,11.01.07
11.01.07.2013,Mutiara,4,11.01.07
11.01.07.2014,Ujung Padang,4,11.01.07
11.01.07.2015,Sawang Ba'u,4,11.01.07
11.01.08,Tapaktuan,3,11.01
11.01.08.2001,Lhok Keutapang,4,11.01.08
11.01.08.2002,Hilir,4,11.01.08
11.01.08.2003,Padang,4,11.01.08
11.01.08.2004,Hulu,4,11.01.08
11.01.08.2005,Jambo Apha,4,11.01.08
11.01.08.2006,Tepi Air,4,11.01.08
11.01.08.2007,Pasar,4,11.01.08
11.01.08.2008,Lhok Bengkuang,4,11.01.08
11.01.08.2009,Panton Luas,4,11.01.08
11.01.08.2010,Gunung Kerambil,4,11.01.08
11.01.08.2011,Air Berudang,4,11.01.08
11.01.08.2012,Batu Itam,4,11.01.08
11.01.08.2013,Panjupian,4,11.01.08
11.01.08.2014,Lhok Rukam,4,11.01.08
11.01.08.2015,Air Pinang,4,11.01.08
11.01.08.2016,Lhok Bengkuang Timur,4,11.01.08
11.01.09,Trumon,3,11.01
11.01.09.2001,Keude Trumon,4,11.01.09
11.01.09.2002,Ujong Tanoh,4,11.01.09
11.01.09.2003,Sigleng,4,11.01.09
11.01.09.2004,Ie Meudama,4,11.01.09
11.01.09.2005,Teupin Tinggi,4,11.01.09
11.01.09.2006,Kuta Baro,4,11.01.09
11.01.09.2007,Panton Bilie,4,11.01.09
11.01.09.2012,Kuta Padang,4,11.01.09
11.01.09.2013,Raket,4,11.01.09
11.01.09.2014,Gampong Teungoh,4,11.01.09
11.01.09.2015,Seuneubok Jaya,4,11.01.09
11.01.09.2016,Padang Harapan,4,11.01.09
11.01.10,Pasie Raja,3,11.01
11.01.10.2001,Ladang Teungoh,4,11.01.10
11.01.10.2002,Pucok Krueng,4,11.01.10
11.01.10.2003,Silolo,4,11.01.10
11.01.10.2004,Kampung Baru,4,11.01.10
11.01.10.2005,Panton Bili,4,11.01.10
11.01.10.2006,Paya Ateuk,4,11.01.10
11.01.10.2007,Ladang Tuha,4,11.01.10
11.01.10.2008,Mata Ie,4,11.01.10
11.01.10.2009,Ujong Batee,4,11.01.10
11.01.10.2010,Lhok Sialang Cut,4,11.01.10
11.01.10.2011,Seuneubok,4,11.01.10
